timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,iris_center_x,iris_center_y,gaze_screen_x,gaze_screen_y,left_ear,right_ear,blink,head_yaw,head_pitch
1773344253.941854,260.6682891845703,141.45391845703125,339.00341033935547,144.96835041046143,295.3576726444107,144.40145867436615,,,0.2663,0.3058,0,4.26,4.35
1773344254.053216,259.76233673095703,139.70081233978271,338.6307601928711,144.36417388916016,296.893222971412,143.45387245040826,,,0.2642,0.3205,0,6.09,4.73
1773344254.218903,261.6077346801758,138.65063667297363,339.3384475708008,143.1216917037964,298.3251702330425,142.42678914559895,,,0.2879,0.3125,0,6.79,4.42
1773344254.319763,266.2432441711426,138.7672176361084,344.6068801879883,144.07018089294434,301.16512701165163,142.0235531931699,,,0.2908,0.3065,0,8.06,5.06
1773344254.409491,271.60964584350586,138.66243267059326,349.9370651245117,145.93660926818848,305.0084184005945,142.13394030365828,,,0.295,0.3196,0,8.85,4.61
1773344254.534828,273.2303123474121,138.89148902893066,351.77561950683594,146.7451229095459,308.0062374112063,142.40768656989027,,,0.3098,0.3071,0,8.46,4.97
1773344254.65375,273.29167556762695,139.5368070602417,352.69610595703125,147.19246101379395,310.00129875165544,142.79046555674128,,,0.3029,0.3164,0,8.71,4.17
1773344254.793928,272.9886932373047,139.13933944702148,352.29161834716797,145.58014297485352,311.0568415678878,142.6181758184198,,,0.2747,0.3175,0,7.37,3.61
1773344254.930241,269.563663482666,139.59920597076416,349.05775451660156,144.82271575927734,310.3583885405862,142.45528983706018,,,0.2768,0.3114,0,6.0,4.34
1773344255.073286,263.91073989868164,141.37561225891113,344.00856018066406,145.28252792358398,307.79889314022086,142.80480193873512,,,0.2834,0.3016,0,4.39,4.49
1773344255.230618,255.25242233276367,143.29335594177246,337.28282928466797,146.02645683288574,303.18638620761885,143.54684371817274,,,0.3183,0.3408,0,3.44,5.45
1773344255.368692,253.83998489379883,144.7771511077881,336.1629943847656,148.67995262145996,299.9124275802842,144.81952697675325,,,0.3324,0.3016,0,1.4,5.54
1773344255.472999,253.15790176391602,145.52493381500244,334.39939880371094,149.8292942047119,297.4589166616959,145.96256178999482,,,0.3261,0.3211,0,1.35,5.25
1773344255.687804,252.10458755493164,146.9897346496582,333.19581604003906,151.53686714172363,295.5354307160117,147.28285743227326,,,0.3235,0.3221,0,0.08,5.65
1773344255.84807,245.62493515014648,148.6169672012329,327.8612289428711,152.1095952987671,292.0184912482105,148.51502695936395,,,0.3537,0.3143,0,0.71,6.66
1773344255.935492,245.66881561279297,150.54121112823486,327.15954208374023,152.37168216705322,289.776766288233,149.69159483467598,,,0.3416,0.3145,0,-1.48,6.25
1773344256.014988,245.1494483947754,149.11510562896729,326.4655456542969,150.9948377609253,288.1890585827542,149.8369455787841,,,0.3296,0.3132,0,-0.32,6.08
1773344256.078516,245.87041854858398,147.91924953460693,327.1675338745117,150.01584720611572,287.5210256342717,149.48918669541501,,,0.3321,0.3103,0,0.26,6.15
1773344256.147145,246.58843612670898,147.862566947937,328.16075134277344,149.7488079071045,287.46245287445953,149.21578698825732,,,0.3189,0.3083,0,0.17,5.41
1773344256.245544,247.88949966430664,146.91081619262695,328.8821029663086,148.37949085235596,287.8317922507988,148.58753360195098,,,0.3115,0.306,0,-0.5,5.68
1773344256.345235,248.7807388305664,145.25911617279053,329.74076080322266,147.78122234344482,288.40337527723705,147.76058786441766,,,0.3191,0.3119,0,0.4,6.07
1773344256.468397,250.60229873657227,144.32953262329102,331.8581008911133,147.14981746673584,289.5341050918793,146.95222273665598,,,0.2968,0.3127,0,-0.46,6.3
1773344256.596397,251.12759399414062,145.95067977905273,334.39376068115234,147.66071033477783,290.8247339901862,146.8936116647597,,,0.2721,0.277,0,-0.23,6.01
1773344256.72799,261.47178649902344,143.86183834075928,340.77317810058594,148.6631898880005,294.9438333140336,146.64117264460776,,,0.2888,0.2924,0,0.57,5.82
1773344256.853477,265.5346336364746,144.64384746551514,345.8804397583008,148.47630786895752,299.24931466737524,146.60873465365918,,,0.277,0.3157,0,2.67,5.3
1773344256.993955,267.45419692993164,143.51367473602295,348.6832504272461,148.31775569915771,302.77707827186066,146.33152687923163,,,0.32,0.3268,0,2.55,4.96
1773344257.081123,269.08514404296875,142.56745147705078,349.01358795166016,147.43513870239258,305.2859933620422,145.79943416342763,,,0.2926,0.3093,0,5.79,4.9
