timestamp,left_eye_x,left_eye_y,right_eye_x,right_eye_y,gaze_screen_x,gaze_screen_y,iris_center_x,iris_center_y,velocity,event
1769703800.477607,235.63984870910645,218.93653392791748,304.19331550598145,220.23365020751956,67.58455021025405,1.620579054992133,269.6674798732445,219.78988766346703,47.58611110511655,other
1769703800.555493,233.55603218078613,218.9502954483032,300.7665157318115,219.9759149551392,67.53157808122629,1.1615181228154459,268.17979677985846,219.60084472414718,19.25434632190966,fixation
1769703800.57094,233.15643310546875,218.96700382232663,300.1536560058594,220.0657296180725,67.24933593197682,0.383416877073403,265.8519673930049,219.41044349476346,151.2020531473819,saccade
1769703800.603659,228.5903263092041,219.47572231292725,294.88414764404297,218.7650942802429,67.0566794451549,-0.4161819656510176,263.5357567282299,219.27957152457378,70.90413324785644,other
1769703800.621211,228.33460807800293,219.8024654388428,295.34687995910645,218.96390676498413,66.71037599727616,-1.4033198852884357,260.4889620353748,219.1181088011741,173.8289718998269,saccade
1769703800.653668,223.47841262817383,220.29411792755127,290.2638053894043,217.2195339202881,66.50138974944967,-2.2864687410415154,257.6412433736479,218.97343445363748,87.85168921609534,other
1769703800.674102,223.0135440826416,220.5707573890686,289.8327159881592,217.35671997070312,66.34330901409203,-3.4249094061182825,254.1093564443473,218.89666902317842,172.8832667926038,saccade
1769703800.712686,218.36281776428223,220.5911922454834,284.215669631958,216.5426230430603,66.31306922705501,-4.295352335968731,251.01570044383885,218.73334567687215,80.29143306552292,other
1769703800.803769,211.87749862670896,222.0998740196228,277.3561763763428,215.8137345314026,66.29827311243983,-5.476634748381217,247.2111787148744,218.73621018547937,41.76982234096411,other
1769703800.809078,211.2690830230713,222.3066759109497,277.4343967437744,216.07505321502688,66.38913845045032,-6.601196261013292,243.5301020393558,218.75277834348668,693.3898150477982,saccade
1769703800.84953,204.78504180908203,223.17247867584229,271.22437477111816,214.7680950164795,66.34969964178475,-7.837429596827624,239.3858291531054,219.02587466757882,102.6713372541148,saccade
